id,timestamp,attack_type,source_ip,target_ip,country,severity,severity_score,duration_minutes,affected_users,username,email,description
1,2024-01-15 10:30:00,DDoS,XXX.XXX.XXX.123,XXX.XXX.XXX.001,Estados Unidos,Alto,8,120,5000,USER_1234,***@***.***,Ataque de ddos detectado
2,2024-01-15 11:45:00,Phishing,XXX.XXX.XXX.456,XXX.XXX.XXX.002,China,Medio,5,30,150,USER_5678,***@***.***,Ataque de phishing detectado
3,2024-01-15 14:20:00,Malware,XXX.XXX.XXX.789,XXX.XXX.XXX.003,Rusia,Crítico,9,180,2000,USER_9012,***@***.***,Ataque de malware detectado
4,2024-01-15 16:10:00,Ransomware,XXX.XXX.XXX.321,XXX.XXX.XXX.004,Alemania,Crítico,10,240,800,USER_3456,***@***.***,Ataque de ransomware detectado
5,2024-01-15 18:30:00,SQL Injection,XXX.XXX.XXX.654,XXX.XXX.XXX.005,Reino Unido,Alto,7,90,300,USER_7890,***@***.***,Ataque de sql injection detectado
6,2024-01-16 09:15:00,XSS,XXX.XXX.XXX.987,XXX.XXX.XXX.006,Francia,Medio,6,45,100,USER_2468,***@***.***,Ataque de xss detectado
7,2024-01-16 12:00:00,Brute Force,XXX.XXX.XXX.147,XXX.XXX.XXX.007,Japón,Bajo,3,20,50,USER_1357,***@***.***,Ataque de brute force detectado
8,2024-01-16 15:45:00,Man-in-the-Middle,XXX.XXX.XXX.258,XXX.XXX.XXX.008,Brasil,Alto,8,60,200,USER_9753,***@***.***,Ataque de man-in-the-middle detectado
9,2024-01-16 17:20:00,Social Engineering,XXX.XXX.XXX.369,XXX.XXX.XXX.009,India,Medio,4,15,75,USER_8642,***@***.***,Ataque de social engineering detectado
10,2024-01-17 08:30:00,DDoS,XXX.XXX.XXX.741,XXX.XXX.XXX.010,Canadá,Alto,7,150,3000,USER_1597,***@***.***,Ataque de ddos detectado
